Estacion,Epoca,Latitud,Longitud,Sitio,Muestra,Temperatura,Conductividad,Okigeno_dis,Turbidez,pH,Familia,Individuos
Fri3,Seca,4.92475,-74.0498611111111,Politécnico SENA,4,14.4,66.2,4.06,22.89,6.64,Glossiphoniidae,17
Fri3,Seca,4.92475,-74.0498611111111,Politécnico SENA,4,14.4,66.2,4.06,22.89,6.64,Hyalellidae,59
Fri3,Seca,4.92475,-74.0498611111111,Politécnico SENA,4,14.4,66.2,4.06,22.89,6.64,Hydrophilidae,1
Fri3,Seca,4.92475,-74.0498611111111,Politécnico SENA,4,14.4,66.2,4.06,22.89,6.64,Naididae,8
Fri3,Seca,4.92475,-74.0498611111111,Politécnico SENA,4,14.4,66.2,4.06,22.89,6.64,Physidae,6
Fri3,Seca,4.92475,-74.0498611111111,Politécnico SENA,4,14.4,66.2,4.06,22.89,6.64,Planariidae,1
Fri3,Seca,4.92475,-74.0498611111111,Politécnico SENA,4,14.4,66.2,4.06,22.89,6.64,Sphaeriidae,1
Fri3,Seca,4.92475,-74.0498611111111,Politécnico SENA,5,15.12,66,5.31,5.91,7.66,Chironomidae,4
Fri3,Seca,4.92475,-74.0498611111111,Politécnico SENA,5,15.12,66,5.31,5.91,7.66,Glossiphoniidae,3
Fri3,Seca,4.92475,-74.0498611111111,Politécnico SENA,5,15.12,66,5.31,5.91,7.66,Hyalellidae,52
Fri3,Seca,4.92475,-74.0498611111111,Politécnico SENA,5,15.12,66,5.31,5.91,7.66,Physidae,10
Fri3,Seca,4.92475,-74.0498611111111,Politécnico SENA,5,15.12,66,5.31,5.91,7.66,Planariidae,2
Fri3,Seca,4.92475,-74.0498611111111,Politécnico SENA,6,17.3,75.5,4.18,14.5,6,Corixidae,17
Fri3,Seca,4.92475,-74.0498611111111,Politécnico SENA,6,17.3,75.5,4.18,14.5,6,Glossiphoniidae,1
Fri3,Seca,4.92475,-74.0498611111111,Politécnico SENA,6,17.3,75.5,4.18,14.5,6,Gyrinidae,1
Fri3,Seca,4.92475,-74.0498611111111,Politécnico SENA,6,17.3,75.5,4.18,14.5,6,Hyalellidae,67
Fri3,Seca,4.92475,-74.0498611111111,Politécnico SENA,6,17.3,75.5,4.18,14.5,6,Physidae,13
Fri3,Seca,4.92475,-74.0498611111111,Politécnico SENA,6,17.3,75.5,4.18,14.5,6,Planariidae,29
Fri4,Lluvia,4.92616666666667,-74.0682777777778,Puente Tabio,1,14,64.1,3.92,16.43,6.42,Glossiphoniidae,2
Fri4,Lluvia,4.92616666666667,-74.0682777777778,Puente Tabio,1,14,64.1,3.92,16.43,6.42,Hyalellidae,51
Fri4,Lluvia,4.92616666666667,-74.0682777777778,Puente Tabio,1,14,64.1,3.92,16.43,6.42,Philopotamidae,1
Fri4,Lluvia,4.92616666666667,-74.0682777777778,Puente Tabio,1,14,64.1,3.92,16.43,6.42,Physidae,15
Fri4,Lluvia,4.92616666666667,-74.0682777777778,Puente Tabio,1,14,64.1,3.92,16.43,6.42,Sphaeriidae,29
Fri4,Lluvia,4.92616666666667,-74.0682777777778,Puente Tabio,2,14.2,76,5.58,6.52,7.16,Aeshnidae,1
Fri4,Lluvia,4.92616666666667,-74.0682777777778,Puente Tabio,2,14.2,76,5.58,6.52,7.16,Chironomidae,1
Fri4,Lluvia,4.92616666666667,-74.0682777777778,Puente Tabio,2,14.2,76,5.58,6.52,7.16,Hyalellidae,23
Fri4,Lluvia,4.92616666666667,-74.0682777777778,Puente Tabio,2,14.2,76,5.58,6.52,7.16,Notonectidae,1
Fri4,Lluvia,4.92616666666667,-74.0682777777778,Puente Tabio,2,14.2,76,5.58,6.52,7.16,Physidae,37
Fri4,Lluvia,4.92616666666667,-74.0682777777778,Puente Tabio,2,14.2,76,5.58,6.52,7.16,Planariidae,4
Fri4,Lluvia,4.92616666666667,-74.0682777777778,Puente Tabio,2,14.2,76,5.58,6.52,7.16,Polycentropodidae,1
Fri4,Lluvia,4.92616666666667,-74.0682777777778,Puente Tabio,2,14.2,76,5.58,6.52,7.16,Sphaeriidae,37
Fri4,Lluvia,4.92616666666667,-74.0682777777778,Puente Tabio,3,15.3,70.05,2.52,9.4,6.1,Hyalellidae,13
Fri4,Lluvia,4.92616666666667,-74.0682777777778,Puente Tabio,3,15.3,70.05,2.52,9.4,6.1,Physidae,14
Fri4,Lluvia,4.92616666666667,-74.0682777777778,Puente Tabio,3,15.3,70.05,2.52,9.4,6.1,Sphaeriidae,21
Fri4,Lluvia,4.92616666666667,-74.0682777777778,Puente Tabio,3,15.3,70.05,2.52,9.4,6.1,Tipulidae,2
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,4,14.2,64.1,3.92,16.43,6.42,Baetidae,7
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,4,14.2,64.1,3.92,16.43,6.42,Hyalellidae,34
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,4,14.2,64.1,3.92,16.43,6.42,Hydrophilidae,2
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,4,14.2,64.1,3.92,16.43,6.42,Naididae,2
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,4,14.2,64.1,3.92,16.43,6.42,Philopotamidae,1
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,4,14.2,64.1,3.92,16.43,6.42,Physidae,16
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,4,14.2,64.1,3.92,16.43,6.42,Simuliidae,2
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,4,14.2,64.1,3.92,16.43,6.42,Sphaeriidae,15
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,5,15.68,72,6.32,13.18,7.34,Aeshnidae,1
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,5,15.68,72,6.32,13.18,7.34,Corixidae,2
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,5,15.68,72,6.32,13.18,7.34,Glossiphoniidae,1
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,5,15.68,72,6.32,13.18,7.34,Hyalellidae,3
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,5,15.68,72,6.32,13.18,7.34,Hydrophilidae,22
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,5,15.68,72,6.32,13.18,7.34,Libellulidae,1
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,5,15.68,72,6.32,13.18,7.34,Notonectidae,1
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,5,15.68,72,6.32,13.18,7.34,Physidae,14
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,5,15.68,72,6.32,13.18,7.34,Sphaeriidae,32
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,6,19,74,3.16,20.39,6,Aeshnidae,2
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,6,19,74,3.16,20.39,6,Chironomidae,3
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,6,19,74,3.16,20.39,6,Corixidae,4
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,6,19,74,3.16,20.39,6,Glossiphoniidae,1
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,6,19,74,3.16,20.39,6,Hyalellidae,11
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,6,19,74,3.16,20.39,6,Hydrophilidae,7
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,6,19,74,3.16,20.39,6,Physidae,51
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,6,19,74,3.16,20.39,6,Planariidae,11
Fri4,Seca,4.92616666666667,-74.0682777777778,Puente Tabio,6,19,74,3.16,20.39,6,Sphaeriidae,67
Fri5,Lluvia,4.85480555555556,-74.0675277777778,Andrés Carne ,1,15.2,115.3,2.29,23.08,6.74,Hyalellidae,8
Fri5,Lluvia,4.85480555555556,-74.0675277777778,Andrés Carne ,1,15.2,115.3,2.29,23.08,6.74,Planariidae,2
Fri5,Lluvia,4.85480555555556,-74.0675277777778,Andrés Carne ,1,15.2,115.3,2.29,23.08,6.74,Sphaeriidae,1
Fri5,Lluvia,4.85480555555556,-74.0675277777778,Andrés Carne ,2,15.6,116.5,1.75,26.6,7.1,Glossiphoniidae,2
Fri5,Lluvia,4.85480555555556,-74.0675277777778,Andrés Carne ,3,15,115.9,4.4,39.49,6.2,Glossiphoniidae,4
Fri5,Lluvia,4.85480555555556,-74.0675277777778,Andrés Carne ,3,15,115.9,4.4,39.49,6.2,Lymnaeidae,4
Fri5,Lluvia,4.85480555555556,-74.0675277777778,Andrés Carne ,3,15,115.9,4.4,39.49,6.2,Naididae,5
Fri5,Seca,4.85480555555556,-74.0675277777778,Andrés Carne ,4,14.5,115.3,2.29,23.08,6.72,Chironomidae,34
Fri5,Seca,4.85480555555556,-74.0675277777778,Andrés Carne ,4,14.5,115.3,2.29,23.08,6.72,Physidae,3
Fri5,Seca,4.85480555555556,-74.0675277777778,Andrés Carne ,5,18.9,323,0.95,58.25,7.23,Lymnaeidae,2
Fri5,Seca,4.85480555555556,-74.0675277777778,Andrés Carne ,5,18.9,323,0.95,58.25,7.23,Physidae,9
Fri5,Seca,4.85480555555556,-74.0675277777778,Andrés Carne ,6,16.99,134,1.58,57,6,Glossiphoniidae,11
Fri5,Seca,4.85480555555556,-74.0675277777778,Andrés Carne ,6,16.99,134,1.58,57,6,Lymnaeidae,5
